ID,Loan_Amount,Grade,Interest_Rate,Repayment_Prob
140138838,16000,A,0.0611,0.9069971759890795
140282270,40000,A,0.0611,0.88690876889597
139651872,40000,A,0.0611,0.8835283899244339
139826797,35000,A,0.0611,0.882215858134374
140832746,25000,A,0.0611,0.882207934557008
138494127,40000,A,0.0611,0.881665592480293
140285106,40000,A,0.0611,0.881662981850205
140822935,40000,A,0.0611,0.881631668097205
141059279,20000,A,0.0611,0.881509661572763
140962969,30000,A,0.0611,0.881464726986635
139380821,4000,A,0.0611,0.881383234349725
139387512,20000,A,0.0611,0.881322786105934
140365974,40000,A,0.0611,0.881118849520799
140482401,40000,A,0.0611,0.880986383426026
140707734,40000,A,0.0611,0.88090548620184
140917411,20000,A,0.0611,0.880791585746591
140285116,39025,A,0.0611,0.88078729353221
140240820,32000,A,0.0611,0.880782491375014
140482673,35000,A,0.0611,0.880754874487413
138239972,11000,A,0.0611,0.880727093746955
140984173,40000,A,0.0611,0.880673219945221
139922202,31025,A,0.0611,0.880642549608448
137809277,40000,A,0.0611,0.880633384864499
139587504,40000,A,0.0611,0.880628192159888
140870371,40000,A,0.0611,0.880562743679721
138761938,36000,A,0.0611,0.880488082677061
139245224,11000,A,0.0611,0.880484688544899
139508679,10000,A,0.0611,0.880381331667465
139801425,21000,A,0.0611,0.880357556309579
141030556,40000,A,0.0611,0.880350064463808
139502353,16000,A,0.0611,0.880324501373511
139496138,30000,A,0.0611,0.88030830157868
140034584,29000,A,0.0611,0.880146484351663
139676100,40000,A,0.0611,0.8801159069940621
140293934,5000,A,0.0611,0.880096080203786
140601921,40000,A,0.0611,0.880086325157577
140676610,30000,A,0.0611,0.880075152744255
139848955,40000,A,0.0611,0.880008601867214
140293939,18500,A,0.0611,0.880000554815902
140371773,20000,A,0.0611,0.879991623712754
140975893,20000,A,0.0611,0.879880984356547
139998028,40000,A,0.0611,0.879877256538496
140240387,10000,A,0.0611,0.879817734122767
140612983,37000,A,0.0611,0.879817005242444
139482527,23000,A,0.0611,0.87981186876546
138895199,25000,A,0.0611,0.879798361615237
140878571,40000,A,0.0611,0.879784742319674
140808996,40000,A,0.0611,0.879768136191857
140795257,28000,A,0.0611,0.87971378180206
138394855,35000,A,0.0611,0.879701418129604
140425804,40000,A,0.0611,0.879622058544292
139314912,10000,A,0.0611,0.879617558055859
139475464,10000,A,0.0611,0.879597312428566
140019953,16000,A,0.0611,0.87959701340161
139961215,14000,A,0.0611,0.879593454643827
140307360,25000,A,0.0611,0.879589142923251
139722709,24975,A,0.0611,0.879550360804203
139478179,12000,A,0.0611,0.879544617229565
138611512,40000,A,0.0611,0.879524149216284
140458447,40000,A,0.0611,0.879504711353022
139577568,12500,A,0.0611,0.87948237231766
139665622,40000,A,0.0611,0.879476876101947
140428629,40000,A,0.0611,0.879456092023876
140525561,25000,A,0.0611,0.879438166610137
138504675,40000,A,0.0611,0.879395435474957
139853513,10000,A,0.0611,0.879395090730277
141054754,18000,A,0.0611,0.879392951162407
140619042,37000,A,0.0611,0.879328534772694
140489147,14000,A,0.0611,0.879324974906226
140826339,5100,A,0.0611,0.879302861996638
140103089,7000,A,0.0611,0.879277664265793
140826849,16000,A,0.0611,0.879272440423407
139030666,40000,A,0.0611,0.879265766016011
140895780,35000,A,0.0611,0.879245987260446
139540768,5900,A,0.0611,0.879224565015984
140897529,31250,A,0.0611,0.879199263340291
140865782,35000,A,0.0611,0.879184456420767
139362778,40000,A,0.0611,0.879141141860476
140435434,35000,A,0.0611,0.879139728732666
140816128,24000,A,0.0611,0.87911456228135
140404572,2200,A,0.0611,0.8791126211572
140683185,40000,A,0.0611,0.879069504581377
140372641,10000,A,0.0611,0.879032411439018
139940338,35000,A,0.0611,0.879030551898939
140035965,10000,A,0.0611,0.879007266375753
139641809,7000,A,0.0611,0.879001134669005
138319626,24000,A,0.0611,0.878995510255454
140495907,7825,A,0.0611,0.878990845286831
139559470,40000,A,0.0611,0.878979345981005
140602617,38000,A,0.0611,0.87895255342162
140425618,20000,A,0.0611,0.87894123421963
139753731,40000,A,0.0611,0.878938390274133
139584674,40000,A,0.0611,0.878920734099385
140679562,15000,A,0.0611,0.878891378715277
139979571,20000,A,0.0611,0.878885910732556
139885537,15000,A,0.0611,0.878881420571338
139682133,24000,A,0.0611,0.878868018928858
139490749,35000,A,0.0611,0.878865804614821
139603650,22000,A,0.0611,0.878824114845918
140648917,35000,A,0.0611,0.878822275585133
140109113,20000,A,0.0611,0.878816638000778
140110225,14000,A,0.0611,0.878811086672286
140497559,35000,A,0.0611,0.8787711439566019
140108135,36000,A,0.0611,0.878748827627349
139787989,32000,A,0.0611,0.878748229074044
139840877,24000,A,0.0611,0.878744474513649
140493429,40000,A,0.0611,0.878741650838354
140326340,30000,A,0.0611,0.878741219219863
140290678,20000,A,0.0611,0.878728052306167
140015306,35000,A,0.0611,0.878710430392527
140672714,40000,A,0.0611,0.878701052171725
138410018,25000,A,0.0611,0.878695331867716
140559569,10000,A,0.0611,0.87868540258479
139648828,40000,A,0.0611,0.878683873746994
139795329,10000,A,0.0611,0.878632574298564
140325767,10000,A,0.0611,0.878623554932351
139491726,35000,A,0.0611,0.878610174073964
139683408,28000,A,0.0611,0.878585905910411
139485849,10000,A,0.0611,0.878573364978576
140539075,18000,A,0.0611,0.878568634546461
140021640,5100,A,0.0611,0.878562711310487
140832566,40000,A,0.0611,0.878554703711937
140240477,24000,A,0.0611,0.878538128730576
139596487,12000,A,0.0611,0.878529290742169
139493594,40000,A,0.0611,0.878476865994291
138580329,15000,A,0.0611,0.878462682354095
140037009,20000,A,0.0611,0.8784560073608529
139978948,12000,A,0.0611,0.878396729574361
138934939,40000,A,0.0611,0.878388385349013
139856964,7000,A,0.0611,0.87837808341429
139580529,40000,A,0.0611,0.8783447377431199
140605294,12600,A,0.0611,0.878342447208498
139122575,40000,A,0.0611,0.878341966032805
140080773,6600,A,0.0611,0.878330034724122
139245314,12000,A,0.0611,0.878327791951259
140598557,15375,A,0.0611,0.878324453462012
139943674,35000,A,0.0611,0.878321855341219
140138679,20500,A,0.0611,0.878320823209632
139975449,20000,A,0.0611,0.87831675306399
140383482,6000,A,0.0611,0.87829835689351
140815898,15000,A,0.0611,0.878298263903423
139661507,10000,A,0.0611,0.878292963069143
140313575,15000,A,0.0611,0.878269300406685
140661227,12000,A,0.0611,0.878267684049303
139281165,25000,A,0.0611,0.878262365323552
138867606,11100,A,0.0611,0.8782400901512359
140109330,25000,A,0.0611,0.878235363251113
138838919,6125,A,0.0611,0.878231770510456
139934613,30000,A,0.0611,0.878191004689984
139360430,28000,A,0.0611,0.878177795594523
139306103,6500,A,0.0611,0.878175836721435
139639910,33000,A,0.0611,0.878170706574068
140441620,25000,A,0.0611,0.878160647965263
140580296,13000,A,0.0611,0.878148509923442
139406899,30000,A,0.0611,0.878145963396028
140103788,16000,A,0.0611,0.878141193162071
140964874,10000,A,0.0611,0.878134313581413
139574917,40000,A,0.0611,0.878131740632837
140775700,25000,A,0.0611,0.87812618457953
141019252,18000,A,0.0611,0.878121001200688
140673587,21000,A,0.0611,0.8780938524492969
140797868,40000,A,0.0611,0.878081673396675
140220980,36000,A,0.0611,0.87807803814501
140775961,10000,A,0.0611,0.878059676527232
139721960,10000,A,0.0611,0.87804539792438
140121424,10000,A,0.0611,0.878031670236103
140600418,10000,A,0.0611,0.878024005577937
140420289,40000,A,0.0611,0.878013862817225
140094550,12000,A,0.0611,0.878005842711251
140875430,15000,A,0.0611,0.878001378444403
139633170,15000,A,0.0611,0.877995126645102
140542370,40000,A,0.0611,0.8779817984745419
139010162,6800,A,0.0611,0.877980907555051
139798211,10000,A,0.0611,0.877974615857504
141044398,35000,A,0.0611,0.877970742993473
139314366,12000,A,0.0611,0.87793706296434
140831761,35000,A,0.0611,0.877930573998885
140613747,28000,A,0.0611,0.877923363537737
139923037,40000,A,0.0611,0.877920661299831
140112729,40000,A,0.0611,0.877915107910507
138077732,35000,A,0.0611,0.877875064869184
140829246,40000,A,0.0611,0.877873766149958
139383071,19000,A,0.0611,0.877865780662797
139532291,40000,A,0.0611,0.877850054134612
140957710,10000,A,0.0611,0.877840923327291
140433254,14000,A,0.0611,0.877838358552233
140693204,15000,A,0.0611,0.877834840296088
139646041,15000,A,0.0611,0.877826399646025
140613352,10000,A,0.0611,0.877823054217886
141048936,23000,A,0.0611,0.877817312245076
141053561,40000,A,0.0611,0.877815993772983
140772037,40000,A,0.0611,0.877801373852944
140658162,12800,A,0.0611,0.877799506435949
139918200,18000,A,0.0611,0.877790178433895
140604346,10000,A,0.0611,0.877784823431766
138326498,40000,A,0.0611,0.877776647494341
140377682,40000,A,0.0611,0.877759115564257
141110092,15000,A,0.0611,0.877755622637826
139665634,27000,A,0.0611,0.877746558045038
140439029,12000,A,0.0611,0.877746172793525
139868999,20000,A,0.0611,0.877742651222983
138754950,40000,A,0.0611,0.877741510453681
139087711,40000,A,0.0611,0.877727983421885
140110730,10000,A,0.0611,0.877724598630074
139530902,40000,A,0.0611,0.877722201015505
139288662,12000,A,0.0611,0.877715939921331
140442269,9000,A,0.0611,0.877699444238797
140848738,35000,A,0.0611,0.87769465345863
139967111,18000,A,0.0611,0.877691288830088
139490567,10000,A,0.0611,0.877687719038853
139947343,12000,A,0.0611,0.877683308846986
140096210,10000,A,0.0611,0.877670917059065
140467775,40000,A,0.0611,0.877669822931384
139426516,15000,A,0.0611,0.877668225125449
140574623,22000,A,0.0611,0.877665229908501
139833312,15000,A,0.0611,0.877654406947162
139634477,18000,A,0.0611,0.877651505103406
139699088,11000,A,0.0611,0.8776500316838249
140795501,20000,A,0.0611,0.877649126244151
139061919,10000,A,0.0611,0.877648119880486
140380337,15000,A,0.0611,0.877635181787409
140618299,38000,A,0.0611,0.877629413492176
140437061,35000,A,0.0611,0.877625960467761
140961489,7200,A,0.0611,0.877623575670608
140872863,10000,A,0.0611,0.8776205883235451
138623145,20000,A,0.0611,0.877619969885801
139244367,40000,A,0.0611,0.877618367388541
140857860,12000,A,0.0611,0.87761726516818
139972749,12000,A,0.0611,0.877610697273561
139921709,17000,A,0.0611,0.8776096912569971
140444744,35000,A,0.0611,0.877605133402116
139877848,10000,A,0.0611,0.877601657328951
139485623,10000,A,0.0611,0.8775865730337991
139485290,35000,A,0.0611,0.877586235607252
140732907,10000,A,0.0611,0.877583278764817
140005819,10000,A,0.0611,0.877575337756952
140706916,40000,A,0.0611,0.8775704817033
140103886,18000,A,0.0611,0.877565471405869
140283012,36000,A,0.0611,0.877537927165566
140881788,13000,A,0.0611,0.877525350366509
140306498,3200,A,0.0611,0.877522908963621
139104153,13000,A,0.0611,0.877513139729388
140114659,8000,A,0.0611,0.877504366054819
140123030,20000,A,0.0611,0.877491143615168
141073319,10000,A,0.0611,0.87748461903137
138334936,10000,A,0.0611,0.877483707744348
140601647,40000,A,0.0611,0.877474342479044
140730041,40000,A,0.0611,0.877473825111566
140738107,13000,A,0.0611,0.877469052003533
141020022,35000,A,0.0611,0.877460928490963
140627316,40000,A,0.0611,0.877455023443747
139725316,35000,A,0.0611,0.877435171797564
138765208,40000,A,0.0611,0.877430986813505
140878440,40000,A,0.0611,0.877429001383391
139884290,20000,A,0.0611,0.877415813404213
140840817,40000,A,0.0611,0.877415729610008
