id,loan_amnt,term,int_rate,installment,grade,sub_grade,annual_inc,purpose,dti,delinq_2yrs,inq_last_6mths,total_acc,initial_list_status,last_fico_range_high,last_fico_range_low,application_type,estimated_default_prob,A_i,P_i,r_i,profit,selected,method,eta
140375090,30000, 36 months,13.56,1018.93,C,C1,128000.0,car,4.55,0,0,13,w,784,780,Individual,0.378238541551788,30000,0.378238541551788,0.1356,2529.3256129673264,1,PSO,36698075
140373199,10000, 60 months,13.56,230.41,C,C1,72000.0,debt_consolidation,10.37,0,0,30,w,809,805,Individual,0.378687974397971,10000,0.378687974397971,0.1356,842.4991067163513,1,PSO,36698075
140265853,33000, 36 months,13.56,1120.83,C,C1,148000.0,credit_card,8.34,0,0,7,w,764,760,Individual,0.379677819254772,33000,0.379677819254772,0.1356,2775.817694398746,1,PSO,36698075
140638289,35000, 36 months,13.56,1188.76,C,C1,160000.0,debt_consolidation,19.02,0,0,42,w,739,735,Individual,0.379802459712389,35000,0.379802459712389,0.1356,2943.4575262050016,1,PSO,36698075
139668502,20000, 36 months,13.56,679.29,C,C1,85000.0,credit_card,9.56,0,0,29,w,784,780,Individual,0.379980426272808,20000,0.379980426272808,0.1356,1681.4930839481449,1,PSO,36698075
141051978,10000, 60 months,13.56,230.41,C,C1,35000.0,home_improvement,2.3,0,0,14,w,774,770,Individual,0.380238928920322,10000,0.380238928920322,0.1356,840.3960123840433,1,PSO,36698075
139500711,35000, 36 months,13.56,1188.76,C,C1,325000.0,debt_consolidation,9.21,1,0,24,w,724,720,Individual,0.380241239262759,35000,0.380241239262759,0.1356,2941.3750784589456,1,PSO,36698075
139925747,35000, 36 months,13.56,1188.76,C,C1,90000.0,debt_consolidation,30.13,0,0,29,w,794,790,Individual,0.380564680873014,35000,0.380564680873014,0.1356,2939.8400245766757,1,PSO,36698075
138371599,35000, 36 months,13.56,1188.76,C,C1,125000.0,credit_card,9.92,0,2,16,w,774,770,Individual,0.38059445087763,35000,0.38059445087763,0.1356,2939.698736134768,1,PSO,36698075
139633009,35000, 36 months,13.56,1188.76,C,C1,96000.0,debt_consolidation,15.34,0,1,17,w,774,770,Individual,0.380661338118636,35000,0.380661338118636,0.1356,2939.3812892889537,1,PSO,36698075
140314678,11000, 60 months,13.56,253.45,C,C1,66000.0,other,14.05,0,0,47,w,759,755,Individual,0.380723060734326,11000,0.380723060734326,0.1356,923.7134826086794,1,PSO,36698075
139682800,25000, 36 months,13.56,849.11,C,C1,60000.0,debt_consolidation,23.8,0,0,33,w,799,795,Individual,0.380817812926306,25000,0.380817812926306,0.1356,2099.0276141798226,1,PSO,36698075
140852248,35000, 36 months,13.56,1188.76,C,C1,200000.0,small_business,0.76,0,2,23,w,714,710,Individual,0.38084173780179,35000,0.38084173780179,0.1356,2938.5251123927046,1,PSO,36698075
138790851,33600, 36 months,13.56,1141.21,C,C1,100000.0,credit_card,21.31,0,1,57,w,734,730,Individual,0.380911628741442,33600,0.380911628741442,0.1356,2820.665673593391,1,PSO,36698075
140633893,20000, 36 months,13.56,679.29,C,C1,62000.0,debt_consolidation,8.05,0,0,16,w,779,775,Individual,0.381020841175951,20000,0.381020841175951,0.1356,1678.6714787308208,1,PSO,36698075
140285169,15000, 36 months,13.56,509.47,C,C1,220000.0,credit_card,13.13,0,0,35,w,769,765,Individual,0.381085590514274,15000,0.381085590514274,0.1356,1258.8719088939665,1,PSO,36698075
140376460,10000, 60 months,13.56,230.41,C,C1,43809.0,debt_consolidation,12.74,0,0,17,w,789,785,Individual,0.381171885010135,10000,0.381171885010135,0.1356,839.1309239262569,1,PSO,36698075
140427758,12000, 60 months,13.56,276.49,C,C1,42497.0,debt_consolidation,10.76,0,0,15,w,794,790,Individual,0.381188356384564,12000,0.381188356384564,0.1356,1006.9303064910376,1,PSO,36698075
139330312,10000, 60 months,13.56,230.41,C,C1,86176.0,credit_card,10.67,0,1,50,w,744,740,Individual,0.3812569972786,10000,0.3812569972786,0.1356,839.0155116902184,1,PSO,36698075
140597509,30000, 36 months,13.56,1018.93,C,C1,145000.0,credit_card,19.05,0,0,77,w,674,670,Individual,0.381257494917041,30000,0.381257494917041,0.1356,2517.0445106774773,1,PSO,36698075
140960774,35000, 36 months,13.56,1188.76,C,C1,165000.0,home_improvement,20.93,0,1,30,w,754,750,Individual,0.381305771443666,35000,0.381305771443666,0.1356,2936.322808728361,1,PSO,36698075
140658321,24000, 60 months,13.56,552.98,C,C1,90000.0,other,19.28,0,0,58,w,809,805,Individual,0.381369152361768,24000,0.381369152361768,0.1356,2013.2722305538625,1,PSO,36698075
139241837,23000, 36 months,13.56,781.18,C,C1,70000.0,credit_card,16.8,0,0,14,w,794,790,Individual,0.381483354753815,23000,0.381483354753815,0.1356,1929.0297131938016,1,PSO,36698075
139659298,12000, 60 months,13.56,276.49,C,C1,78500.0,credit_card,6.12,0,0,18,w,759,755,Individual,0.381581575281054,12000,0.381581575281054,0.1356,1006.2904607026688,1,PSO,36698075
138619758,32550, 36 months,13.56,1105.54,C,C1,105600.0,debt_consolidation,27.33,0,0,35,w,759,755,Individual,0.381616327964855,32550,0.381616327964855,0.1356,2729.409483955282,1,PSO,36698075
140985353,12000, 60 months,13.56,276.49,C,C1,72000.0,debt_consolidation,5.83,0,0,35,w,729,725,Individual,0.381720853443433,12000,0.381720853443433,0.1356,1006.0638272768458,1,PSO,36698075
140610681,28000, 36 months,13.56,951.01,C,C1,155000.0,debt_consolidation,21.12,0,0,41,w,734,730,Individual,0.381771304516949,28000,0.381771304516949,0.1356,2347.2907110100477,1,PSO,36698075
139822134,28000, 36 months,13.56,951.01,C,C1,135000.0,debt_consolidation,9.67,0,0,33,w,704,700,Individual,0.381788962198647,28000,0.381788962198647,0.1356,2347.223668324177,1,PSO,36698075
139962988,5300, 36 months,13.56,180.02,C,C1,51000.0,credit_card,3.06,0,0,23,w,789,785,Individual,0.381800726491086,5300,0.381800726491086,0.1356,444.2874538853863,1,PSO,36698075
139933297,25000, 36 months,13.56,849.11,C,C1,292500.0,debt_consolidation,3.78,0,0,14,w,704,700,Individual,0.381831582912605,25000,0.381831582912605,0.1356,2095.590933926269,1,PSO,36698075
140012697,11000, 60 months,13.56,253.45,C,C1,51000.0,debt_consolidation,6.47,0,0,20,w,749,745,Individual,0.381882890083958,11000,0.381882890083958,0.1356,921.9834811507684,1,PSO,36698075
140325256,30000, 36 months,13.56,1018.93,C,C1,86000.0,debt_consolidation,7.02,0,0,11,w,724,720,Individual,0.381886079948236,30000,0.381886079948236,0.1356,2514.487426770576,1,PSO,36698075
139598579,10000, 60 months,13.56,230.41,C,C1,80000.0,debt_consolidation,3.05,0,1,29,w,734,730,Individual,0.381920121766752,10000,0.381920121766752,0.1356,838.1163148842842,1,PSO,36698075
140684682,17400, 36 months,13.56,590.98,C,C1,49500.0,debt_consolidation,24.1,0,0,15,w,834,830,Individual,0.381963524902888,17400,0.381963524902888,0.1356,1458.2199808031298,1,PSO,36698075
