ID,Loan_Amount,Grade,Interest_Rate,Default_Prob
139928009,40000,A,0.0784,0.163076856409177
139603812,20000,A,0.0784,0.178543838708462
138225720,32175,A,0.0784,0.178707107816394
139692373,40000,A,0.0784,0.179615631087157
139759255,40000,A,0.0784,0.179709436827597
140851137,40000,A,0.0784,0.17986675389749
140329592,20000,A,0.0784,0.179966602520429
140220484,30000,A,0.0784,0.180216245084671
140120465,40000,A,0.0784,0.180383223296594
139709089,25000,A,0.0784,0.180503826869364
140977923,40000,A,0.0784,0.180537482264285
140801111,40000,A,0.0784,0.180645208535315
140743289,32000,A,0.0784,0.180777244852145
140500649,15000,A,0.0784,0.180841852393376
140592939,16000,A,0.0784,0.181003903994163
139802851,35000,A,0.0784,0.181013317825466
140329658,18000,A,0.0784,0.181137775543118
140479283,35000,A,0.0784,0.18125237257116
139639157,15000,A,0.0784,0.181394157646226
140107857,14000,A,0.0784,0.181419589487325
140833023,30000,A,0.0784,0.181447020668339
140850875,25000,A,0.0784,0.181544043261651
140825440,35000,A,0.0784,0.181590601744874
139672032,16000,A,0.0784,0.181638776209571
138057883,14000,A,0.0784,0.181773289863108
138437889,40000,A,0.0784,0.181775480199071
138568414,30000,A,0.0784,0.181889882131435
140138607,40000,A,0.0784,0.181946026763991
140765605,16975,A,0.0784,0.181977974363914
140704939,12000,A,0.0784,0.181990088166718
140374596,16000,A,0.0784,0.18200195833225
140624850,40000,A,0.0784,0.182011965050989
140828986,15000,A,0.0784,0.182079807850755
139658069,25000,A,0.0784,0.18208394925108
140804311,40000,A,0.0784,0.182116116415139
139795077,15000,A,0.0784,0.182141002737012
140725721,18000,A,0.0784,0.182218842590815
140497069,15000,A,0.0784,0.182240582844371
140282984,30000,A,0.0784,0.182244742640738
140348541,40000,A,0.0784,0.182258338099016
139509239,40000,A,0.0784,0.182273202945622
139685890,35000,A,0.0784,0.182300023084462
139146574,24000,A,0.0784,0.182333080252761
140081373,20000,A,0.0784,0.182457938360756
138151724,40000,A,0.0784,0.18246427398071
140318732,20000,A,0.0784,0.182469071762183
140840377,21000,A,0.0784,0.182474379750478
139686945,35000,A,0.0784,0.182508201054967
140997372,40000,A,0.0784,0.182556613366108
140762771,18000,A,0.0784,0.18255670183855
140203820,40000,A,0.0784,0.182584006185934
140701963,35000,A,0.0784,0.182601103657268
139631729,20000,A,0.0784,0.182614156173342
140626440,32000,A,0.0784,0.182680365319953
140341522,30000,A,0.0784,0.182691278410535
139606104,25000,A,0.0784,0.182712247381998
139980478,25000,A,0.0784,0.182723741774762
140676642,34500,A,0.0784,0.182743679239144
139993650,29000,A,0.0784,0.182791564458399
139721869,40000,A,0.0784,0.182799694170052
140251802,40000,A,0.0784,0.182801172557463
139970361,20000,A,0.0784,0.182820463521225
140170187,35000,A,0.0784,0.182888676483664
139507117,40000,A,0.0784,0.182922626726726
139836652,25000,A,0.0784,0.182933922685921
139922129,20000,A,0.0784,0.18294626926804
140406392,13200,A,0.0784,0.182974928802967
140842286,37000,A,0.0784,0.182986545273255
140409835,35000,A,0.0784,0.183006806186677
140312156,39000,A,0.0784,0.183049218210978
140820406,20000,A,0.0784,0.183087363255352
140749373,25000,A,0.0784,0.183143086322586
139482145,40000,A,0.0784,0.183187834097492
139876952,19200,A,0.0784,0.183199470868493
139028620,40000,A,0.0784,0.183202267314746
140828844,20000,A,0.0784,0.183205762589175
140377068,40000,A,0.0784,0.183220794315701
140214484,35000,A,0.0784,0.18328924990362
139509608,34500,A,0.0784,0.183300227906651
140499855,20000,A,0.0784,0.18330921708376
140009055,26500,A,0.0784,0.183321427595498
139655744,21000,A,0.0784,0.183325522655783
139338857,40000,A,0.0784,0.183329670750035
139675672,25000,A,0.0784,0.183376087990857
140247520,27225,A,0.0784,0.183385273072428
140410586,35000,A,0.0784,0.183415610502105
139757260,35000,A,0.0784,0.183419084514334
140017926,40000,A,0.0784,0.183509818298203
140383521,40000,A,0.0784,0.18351850264522
140294196,30000,A,0.0784,0.183524738451903
139701548,30000,A,0.0784,0.183527182168099
140999671,40000,A,0.0784,0.18353938762086
138443473,36000,A,0.0784,0.183559070927393
139326264,40000,A,0.0784,0.183574744442561
139100168,18000,A,0.0784,0.18358619170411
140690310,40000,A,0.0784,0.183606533354839
140222887,20000,A,0.0784,0.183646099665795
140364164,38000,A,0.0784,0.183647770006472
140957915,40000,A,0.0784,0.183664701279835
140831896,39000,A,0.0784,0.183668657092747
139888443,17000,A,0.0784,0.183679286116926
139305268,40000,A,0.0784,0.183690112002113
139513057,40000,A,0.0784,0.18369173790562
140967116,25000,A,0.0784,0.183704363696637
140902493,40000,A,0.0784,0.183768709369822
138787444,20000,A,0.0784,0.183797997651066
140525968,23500,A,0.0784,0.183811947062067
140428452,30000,A,0.0784,0.183814252647151
139619559,39000,A,0.0784,0.183872813760821
140975825,20000,A,0.0784,0.183886615106291
140250578,40000,A,0.0784,0.183934273268319
139561982,18000,A,0.0784,0.183945625073492
140005324,25000,A,0.0784,0.183959201808156
139270740,20000,A,0.0784,0.183968767040672
141066969,22800,A,0.0784,0.183984684651266
140893935,30000,A,0.0784,0.184005077610879
140101988,28000,A,0.0784,0.184080471660382
140251809,25000,A,0.0784,0.184091707514506
140631863,20000,A,0.0784,0.18411798242991
140662537,35000,A,0.0784,0.184124901202026
140059630,27125,A,0.0784,0.184139361791118
140845480,18000,A,0.0784,0.184164424698281
139855396,30000,A,0.0784,0.18416974416014
141079486,21300,A,0.0784,0.184233413215863
139310573,34000,A,0.0784,0.1842548978878
138010022,17000,A,0.0784,0.184257754369528
138933652,34000,A,0.0784,0.184264496536543
139009464,30000,A,0.0784,0.184266359143723
140311525,20000,A,0.0784,0.184362325225033
140862591,18000,A,0.0784,0.184376263733627
139707430,35000,A,0.0784,0.18439450790419
140773322,40000,A,0.0784,0.184400980718315
141052509,25000,A,0.0784,0.184407299461872
139483110,18000,A,0.0784,0.184430821320076
138908262,22000,A,0.0784,0.184456437052066
140604592,18000,A,0.0784,0.184474105260331
139994469,20000,A,0.0784,0.184499697692043
140978644,21000,A,0.0784,0.184527185207135
140761190,27500,A,0.0784,0.184539996160539
139560782,21000,A,0.0784,0.184556411071046
140524252,35000,A,0.0784,0.184567778404097
139851415,35000,A,0.0784,0.184603838654878
139789472,20000,A,0.0784,0.184610714840519
139803647,35000,A,0.0784,0.184610773539367
140197538,18000,A,0.0784,0.18464413472044
141047751,19300,A,0.0784,0.184653851348336
140824119,25000,A,0.0784,0.184684016572383
139812249,20000,A,0.0784,0.184706335282613
139821907,21000,A,0.0784,0.184718623142338
139582983,29000,A,0.0784,0.184727841277289
139643732,20000,A,0.0784,0.184739483794173
139758462,20500,A,0.0784,0.184740454514011
139009268,21000,A,0.0784,0.18474657872722
139854165,20000,A,0.0784,0.184755158999064
139405659,35000,A,0.0784,0.184756873497622
139629412,19000,A,0.0784,0.184762297572971
140758907,35000,A,0.0784,0.184763312617722
140769828,20000,A,0.0784,0.184764332283075
139235142,35000,A,0.0784,0.184781346012307
139627625,20000,A,0.0784,0.184782986470836
139486636,40000,A,0.0784,0.184784358613229
139927664,25000,A,0.0784,0.184788759616173
139320221,36000,A,0.0784,0.184792941979469
140729514,40000,A,0.0784,0.184796989223898
140775468,25000,A,0.0784,0.184817904460241
138894043,22000,A,0.0784,0.184841833647138
139714413,25000,A,0.0784,0.184864351415033
139757395,25500,A,0.0784,0.18490900625817
140686511,30000,A,0.0784,0.18491044808143
140672772,20000,A,0.0784,0.184917802689466
139532349,35000,A,0.0784,0.184937116389939
140370481,21525,A,0.0784,0.184938330390201
140251993,25000,A,0.0784,0.184941626292837
140632746,22000,A,0.0784,0.184952066652394
139725456,20000,A,0.0784,0.184958317776776
140312100,23000,A,0.0784,0.184976302539629
139489427,25000,A,0.0784,0.184977675312038
140246698,26000,A,0.0784,0.18499235823582
140734091,20000,A,0.0784,0.185028740889228
139630705,28000,A,0.0784,0.185044708026613
139534881,40000,A,0.0784,0.18506005324705
140609221,25000,A,0.0784,0.185090369352243
140625395,24000,A,0.0784,0.185098174871901
140663928,28000,A,0.0784,0.185102100278179
139233666,24000,A,0.0784,0.185121189888489
139010582,40000,A,0.0784,0.185131722274378
139444411,35000,A,0.0784,0.185147324160241
138201544,25000,A,0.0784,0.185183575279696
139678018,20000,A,0.0784,0.185186766245562
140740241,19500,A,0.0784,0.18520324568297
140061518,20000,A,0.0784,0.185207924707094
140540467,20000,A,0.0784,0.185214926393311
140119847,20000,A,0.0784,0.185230437249467
139584929,21000,A,0.0784,0.185231853923271
139845943,24000,A,0.0784,0.185235900246036
140681859,30000,A,0.0784,0.185251539553946
140682251,21000,A,0.0784,0.185257747165513
139488510,35000,A,0.0784,0.185272438334593
138953189,30000,A,0.0784,0.185281663869209
140103895,21000,A,0.0784,0.185301177822331
139799334,20000,A,0.0784,0.185317132558086
140236383,20000,A,0.0784,0.185323875852474
140109924,20000,A,0.0784,0.185347089972705
139384244,24000,A,0.0784,0.185354740711099
140957900,20000,A,0.0784,0.185355629572268
140946412,25000,A,0.0784,0.185370083301139
140624715,25000,A,0.0784,0.185377679389789
140310639,20000,A,0.0784,0.185391543609137
139058655,20000,A,0.0784,0.185436061719716
140009469,30000,A,0.0784,0.185447850272744
140387109,30000,A,0.0784,0.185452902555812
140440630,20000,A,0.0784,0.18545522778943
139851954,35000,A,0.0784,0.185461220402978
140758318,25000,A,0.0784,0.18546611062157
139626954,24000,A,0.0784,0.185495090964287
140114273,33000,A,0.0784,0.185515280560021
140870763,32000,A,0.0784,0.185532365492354
139912712,35000,A,0.0784,0.185549833813811
139654592,20000,A,0.0784,0.185572497018029
139640923,29500,A,0.0784,0.185578545132501
139207350,25000,A,0.0784,0.185584591762471
140936335,25000,A,0.0784,0.185599474935708
140365872,21000,A,0.0784,0.18560347087448
139821078,20000,A,0.0784,0.185605624763277
139579506,30000,A,0.0784,0.185631536041056
139978080,20000,A,0.0784,0.18563539727841
139278688,20000,A,0.0784,0.185639031343262
139755463,24000,A,0.0784,0.18564065062184
139513625,35000,A,0.0784,0.18565814712581
139471487,20000,A,0.0784,0.185661153118747
140609837,24000,A,0.0784,0.185670506097278
139030524,28000,A,0.0784,0.185679352744065
140366981,20000,A,0.0784,0.185683143393671
139482918,30000,A,0.0784,0.185688499337873
139802633,30000,A,0.0784,0.185690904908283
140490827,35000,A,0.0784,0.18570609345403
138876866,35000,A,0.0784,0.185718939034656
140815762,20000,A,0.0784,0.185737803491823
140740250,30000,A,0.0784,0.185743079186208
138832386,25000,A,0.0784,0.185748757660182
139486427,25000,A,0.0784,0.185752709759848
141029710,22000,A,0.0784,0.18575965317279
140350677,25000,A,0.0784,0.185787560536464
140115735,24000,A,0.0784,0.185812496167313
140813285,30000,A,0.0784,0.185850460833784
138763785,22000,A,0.0784,0.185860139172837
140741518,40000,A,0.0784,0.185871296597902
141077995,35000,A,0.0784,0.185894697372211
139370295,35000,A,0.0784,0.185899668341717
139535452,33000,A,0.0784,0.18593605370327
